date,sbp,banks,total
2025-06,14505.8,4763.4,19269.2
2025-07,14324.1,4652,18976.1
2025-08,14319.5,4757.6,19077.1
2025-09,14174.6,4729.7,18904.3
2025-10,14502.9,4671.1,19174
2025-11,14588.8,4546.8,19135.6
2025-12,16053.5,4784.8,20838.3
2026-01,16157.2,4814.6,20971.8
2026-02,16298.7,4761.5,21060.2
2026-03,16381.9,4950,21331.9
2026-04,15850.7,4952.9,20803.6
2026-05,17189.3,4920.2,22109.5
2026-06,18376.2,4822.4,23198.6
2026-07,17043.1,4845.6,21888.7
2026-08-07,17057,5441.3,22498.3
2026-08-13,17081.9,5424.2,22506.1
2026-08-21,17098.5,5488.9,22587.4
2026-08-28,17117.8,5410.1,22527.9
